old_url,old_content,new_url
https://api.gouv.fr/les-api/api-declaration-auto-entrepreneur,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-declaration-auto-entrepreneur.md,https://www.data.gouv.fr/dataservices/672cf690a474f2d73502b5d3
https://api.gouv.fr/les-api/api-declaration-cesu,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-declaration-cesu.md,https://www.data.gouv.fr/dataservices/672cf69a1092eab5f92dfaaa
https://api.gouv.fr/les-api/api-declaration-embauche,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-declaration-embauche.md,https://www.data.gouv.fr/dataservices/672cf671a47b8d4c15d13d5c
https://api.gouv.fr/les-api/api-declaration-pajemploi,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-declaration-pajemploi.md,https://www.data.gouv.fr/dataservices/672cf6a26452c7d61849433b
https://api.gouv.fr/les-api/api-defibrillateurs,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-defibrillateurs.md,https://www.data.gouv.fr/dataservices/672cf6740666cac46925be2f
https://api.gouv.fr/les-api/api-demarches-ministere-culture,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-demarches-ministere-culture.md,https://www.data.gouv.fr/dataservices/672cfc6bfc959adaf03a4d00
https://api.gouv.fr/les-api/api-diffusion-fichiers-these,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-diffusion-fichiers-these.md,https://www.data.gouv.fr/dataservices/672cf687c3488a0c533f7095
https://api.gouv.fr/les-api/api-donnees-foncieres,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-donnees-foncieres.md,https://www.data.gouv.fr/dataservices/672cf655a474f2d73502b5ce
https://api.gouv.fr/les-api/api-donnees-locales-energie,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-donnees-locales-energie.md,https://www.data.gouv.fr/dataservices/672cfc58c21305d715be7f33
https://api.gouv.fr/les-api/api-donnees-ouvertes-enedis,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-donnees-ouvertes-enedis.md,
https://api.gouv.fr/les-api/api-dume,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-dume.md,https://www.data.gouv.fr/dataservices/672cfc44fa6cdbd0efe62e62
https://api.gouv.fr/les-api/api-eclaire,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-eclaire.md,https://www.data.gouv.fr/dataservices/672cf71d739fcf87e0f02be5
https://api.gouv.fr/les-api/api-ecobalyse,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-ecobalyse.md,https://www.data.gouv.fr/dataservices/672cf69855292111be09effb
https://api.gouv.fr/les-api/api-emplois-inclusion,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-emplois-inclusion.md,https://www.data.gouv.fr/dataservices/672cf6a06452c7d61849433a
https://api.gouv.fr/les-api/api-engagement,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-engagement.md,https://www.data.gouv.fr/dataservices/672cf657f8b5d52b76263395
https://api.gouv.fr/les-api/api-entreprise,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-entreprise.md,https://www.data.gouv.fr/dataservices/672cf6a36d09c75cace6a627
https://api.gouv.fr/les-api/api-evenements-pole-emploi,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-evenements-pole-emploi.md,https://www.data.gouv.fr/dataservices/672cf663a316ad54c9a7f198
https://api.gouv.fr/les-api/api-export-donnees-these,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-export-donnees-these.md,https://www.data.gouv.fr/dataservices/672cf6a5ee9a5fed20dd93e7
